GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WildBloom,start.dao,OrderDao,63,0,0,0,18,0,4,0,4,0
WildBloom,start.dao,CustomerDao,4,0,0,0,1,0,1,0,1,0
WildBloom,start.dao,UserDao,56,0,4,0,15,0,5,0,3,0
WildBloom,start.dao,EmployeeDao,4,0,0,0,1,0,1,0,1,0
WildBloom,start.dao,ProductDao,103,0,10,0,21,0,8,0,3,0
WildBloom,start.dao,CategoryDao,26,0,0,0,8,0,2,0,2,0
WildBloom,start.dao,AdministratorDao,4,0,0,0,1,0,1,0,1,0
WildBloom,start.dao,BaseDao,111,0,2,0,27,0,7,0,6,0
WildBloom,start.dao,CartDao,49,0,0,0,15,0,3,0,3,0
WildBloom,start.dao,OrderItemDao,60,0,4,0,16,0,5,0,3,0
WildBloom,start.dao,CartItemDao,28,0,0,0,9,0,2,0,2,0
WildBloom,start.dto,CreateAdministratorDto,45,0,0,0,13,0,13,0,13,0
WildBloom,start.dto,UserDto,38,0,0,0,11,0,11,0,11,0
WildBloom,start.dto,CreateEmployeeDto,45,0,0,0,13,0,13,0,13,0
WildBloom,start.controller,OrderController,48,0,0,0,12,0,4,0,4,0
WildBloom,start.controller,AuthController,33,0,0,0,9,0,4,0,4,0
WildBloom,start.controller,ProductController,17,0,0,0,5,0,3,0,3,0
WildBloom,start.config,DefaultUsersInitializer,83,0,4,0,24,0,4,0,2,0
WildBloom,start,WildBloomApplication,8,0,0,0,2,0,2,0,2,0
WildBloom,start.dao.exception,DaoException,9,0,0,0,4,0,2,0,2,0
WildBloom,start.service,UserService,205,0,8,0,51,0,9,0,5,0
WildBloom,start.service,OrderService,7,394,2,26,1,85,2,19,0,7
WildBloom,start.service,CartService,29,289,6,22,6,77,6,17,0,9
WildBloom,start.security,DbUserDetailsService,39,0,2,0,12,0,3,0,2,0
WildBloom,start.security,SecurityConfig,185,0,6,0,34,0,12,0,9,0
WildBloom,start.model,User,26,26,0,0,8,7,8,7,8,7
WildBloom,start.model,Product,20,32,0,0,8,14,6,9,6,9
WildBloom,start.model,OrderStatus,0,33,0,0,0,2,0,1,0,1
WildBloom,start.model,Administrator,10,0,0,0,3,0,3,0,3,0
WildBloom,start.model,Employee,17,0,0,0,5,0,5,0,5,0
WildBloom,start.model,UserRole,0,27,0,0,0,2,0,1,0,1
WildBloom,start.model,Order,38,54,6,0,11,22,9,14,6,14
WildBloom,start.model,Customer,3,14,0,0,1,4,1,4,1,4
WildBloom,start.model,Category,21,0,0,0,6,0,5,0,5,0
WildBloom,start.model,CartItem,18,21,2,0,5,6,5,6,4,6
WildBloom,start.model,OrderItem,9,25,0,0,3,7,3,7,3,7
WildBloom,start.model,Cart,22,36,4,0,6,14,5,9,3,9
